,RHR,DetRHR,Raw Bias,% Bias
733,58,58.0,0.0,0.0
734,60,60.0,0.0,0.0
735,61,61.0,0.0,0.0
736,45,45.0,0.0,0.0
737,48,48.0,0.0,0.0
738,48,48.0,0.0,0.0
739,52,52.0,0.0,0.0
740,56,56.0,0.0,0.0
741,56,56.0,0.0,0.0
742,56,56.0,0.0,0.0
743,54,60.317091836421355,-6.317091836421355,-10.473137288437531
744,63,63.0,0.0,0.0
745,60,60.0,0.0,0.0
746,61,61.0,0.0,0.0
747,58,58.0,0.0,0.0
748,54,54.0,0.0,0.0
749,51,51.0,0.0,0.0
750,56,56.0,0.0,0.0
751,53,53.0,0.0,0.0
752,54,54.0,0.0,0.0
753,52,52.0,0.0,0.0
754,75,75.0,0.0,0.0
755,82,82.0,0.0,0.0
756,78,78.0,0.0,0.0
757,78,78.0,0.0,0.0
758,76,76.0,0.0,0.0
759,73,73.0,0.0,0.0
760,70,70.0,0.0,0.0
761,60,60.0,0.0,0.0
762,62,62.0,0.0,0.0
763,50,50.0,0.0,0.0
764,66,66.0,0.0,0.0
765,67,67.0,0.0,0.0
766,57,57.0,0.0,0.0
767,55,55.0,0.0,0.0
768,54,54.0,0.0,0.0
769,60,60.0,0.0,0.0
770,62,62.0,0.0,0.0
771,70,70.0,0.0,0.0
772,67,67.0,0.0,0.0
773,78,78.0,0.0,0.0
774,52,52.0,0.0,0.0
775,60,60.0,0.0,0.0
776,50,50.0,0.0,0.0
777,54,54.0,0.0,0.0
778,48,48.0,0.0,0.0
779,57,57.0,0.0,0.0
780,58,58.0,0.0,0.0
781,49,49.0,0.0,0.0
782,51,51.0,0.0,0.0
783,53,53.0,0.0,0.0
784,55,55.0,0.0,0.0
785,58,57.3144701117101,0.6855298882898992,1.1960851892266495
786,55,55.0,0.0,0.0
787,58,58.0,0.0,0.0
788,72,72.0,0.0,0.0
789,66,66.0,0.0,0.0
790,69,69.0,0.0,0.0
791,68,68.0,0.0,0.0
792,65,65.0,0.0,0.0
793,57,57.0,0.0,0.0
794,52,52.0,0.0,0.0
795,46,46.0,0.0,0.0
796,44,44.0,0.0,0.0
797,49,49.0,0.0,0.0
798,50,50.0,0.0,0.0
799,48,48.0,0.0,0.0
800,52,52.0,0.0,0.0
801,48,48.0,0.0,0.0
802,55,55.0,0.0,0.0
803,55,55.0,0.0,0.0
804,65,65.0,0.0,0.0
805,65,65.0,0.0,0.0
806,64,64.0,0.0,0.0
807,60,60.0,0.0,0.0
808,57,57.0,0.0,0.0
809,57,57.0,0.0,0.0
810,55,55.0,0.0,0.0
811,53,53.0,0.0,0.0
812,51,51.0,0.0,0.0
813,50,50.0,0.0,0.0
814,56,56.0,0.0,0.0
815,63,63.0,0.0,0.0
816,65,65.0,0.0,0.0
817,63,63.0,0.0,0.0
818,70,70.0,0.0,0.0
819,69,69.0,0.0,0.0
820,57,57.0,0.0,0.0
821,60,60.0,0.0,0.0
822,65,65.0,0.0,0.0
823,68,68.0,0.0,0.0
824,72,72.0,0.0,0.0
825,62,62.0,0.0,0.0
826,56,56.0,0.0,0.0
827,53,53.0,0.0,0.0
828,53,53.0,0.0,0.0
829,53,53.0,0.0,0.0
830,57,57.0,0.0,0.0
831,61,61.0,0.0,0.0
